Frames,Timestamp,gne_ratio,pid,qid
0,1.1912680864334106,0.0,40,13
1,1.1955788747622416,0.0,40,13
2,1.1998896630910727,0.0,40,13
3,1.2042004514199036,0.0,40,13
4,1.2085112397487348,0.0,40,13
5,1.2128220280775657,0.0,40,13
6,1.2171328164063968,0.0,40,13
7,1.2214436047352277,0.0,40,13
8,1.2257543930640586,0.0,40,13
9,1.2300651813928898,0.0,40,13
10,1.2343759697217207,0.0,40,13
11,1.2386867580505518,0.0,40,13
12,1.2429975463793828,0.0,40,13
13,1.247308334708214,0.0,40,13
14,1.2516191230370448,0.0,40,13
15,1.2559299113658757,0.0,40,13
16,1.2602406996947069,0.0,40,13
17,1.2645514880235378,0.0,40,13
18,1.268862276352369,0.0,40,13
19,1.2731730646811998,0.0,40,13
20,1.277483853010031,0.0,40,13
21,1.281794641338862,0.0,40,13
22,1.2861054296676928,0.0,40,13
23,1.290416217996524,0.0,40,13
24,1.2947270063253549,0.0,40,13
25,1.299037794654186,0.0,40,13
26,1.303348582983017,0.0,40,13
27,1.307659371311848,0.0,40,13
28,1.311970159640679,0.0,40,13
29,1.31628094796951,0.0,40,13
30,1.320591736298341,0.0,40,13
31,1.324902524627172,0.0,40,13
32,1.329213312956003,0.0,40,13
33,1.333524101284834,0.0,40,13
34,1.3378348896136651,0.0,40,13
35,1.342145677942496,0.0,40,13
36,1.3464564662713272,0.0,40,13
37,1.3507672546001581,0.0,40,13
38,1.355078042928989,0.0,40,13
39,1.3593888312578202,0.0,40,13
40,1.363699619586651,0.0,40,13
41,1.3680104079154822,0.0,40,13
42,1.3723211962443131,0.0,40,13
43,1.376631984573144,0.0,40,13
44,1.3809427729019752,0.0,40,13
45,1.3852535612308061,0.0,40,13
46,1.3895643495596373,0.0,40,13
47,1.3938751378884682,0.0,40,13
48,1.3981859262172993,0.0,40,13
49,1.4024967145461302,0.0,40,13
50,1.4068075028749614,0.0,40,13
51,1.4111182912037923,0.0,40,13
52,1.4154290795326232,0.0,40,13
53,1.4197398678614543,0.0,40,13
54,1.4240506561902853,0.0,40,13
55,1.4283614445191164,0.0,40,13
56,1.4326722328479473,0.0,40,13
57,1.4369830211767782,0.0,40,13
58,1.4412938095056094,0.0,40,13
59,1.4456045978344403,0.0,40,13
60,1.4499153861632714,0.0,40,13
61,1.4542261744921023,0.0,40,13
62,1.4585369628209335,0.0,40,13
63,1.4628477511497644,0.0,40,13
64,1.4671585394785955,0.0,40,13
65,1.4714693278074265,0.0,40,13
66,1.4757801161362574,0.0,40,13
67,1.4800909044650885,0.0,40,13
68,1.4844016927939194,0.0,40,13
69,1.4887124811227506,0.0,40,13
70,1.4930232694515815,0.0,40,13
71,1.4973340577804124,0.0,40,13
72,1.5016448461092435,0.0,40,13
73,1.5059556344380745,0.0,40,13
74,1.5102664227669056,0.0,40,13
75,1.5145772110957365,0.0,40,13
76,1.5188879994245676,0.0,40,13
77,1.5231987877533986,0.0,40,13
78,1.5275095760822297,0.0,40,13
79,1.5318203644110606,0.0,40,13
80,1.5361311527398915,0.0,40,13
81,1.5404419410687227,0.0,40,13
82,1.5447527293975536,0.0,40,13
83,1.5490635177263847,0.0,40,13
84,1.5533743060552156,0.0,40,13
85,1.5576850943840466,0.0,40,13
86,1.5619958827128777,0.0,40,13
87,1.5663066710417088,0.0,40,13
88,1.5706174593705398,0.0,40,13
89,1.5749282476993707,0.0,40,13
90,1.5792390360282018,0.0,40,13
91,1.5835498243570327,0.0,40,13
92,1.5878606126858639,0.0,40,13
93,1.5921714010146948,0.0,40,13
94,1.5964821893435257,0.0,40,13
95,1.6007929776723568,0.0,40,13
96,1.6051037660011878,0.0,40,13
97,1.609414554330019,0.0,40,13
98,1.6137253426588498,0.0,40,13
99,1.6180361309876807,0.0,40,13
100,1.6223469193165119,0.0,40,13
101,1.626657707645343,0.0,40,13
102,1.630968495974174,0.0,40,13
103,1.6352792843030048,0.0,40,13
104,1.639590072631836,0.0,40,13
105,1.643900860960667,0.0,40,13
106,1.648211649289498,0.0,40,13
107,1.652522437618329,0.0,40,13
108,1.6568332259471599,0.0,40,13
109,1.661144014275991,0.0,40,13
110,1.665454802604822,0.0,40,13
111,1.669765590933653,0.0,40,13
112,1.674076379262484,0.0,40,13
113,1.678387167591315,0.0,40,13
114,1.682697955920146,0.0,40,13
115,1.6870087442489772,0.0,40,13
116,1.691319532577808,0.0,40,13
117,1.695630320906639,0.0,40,13
118,1.69994110923547,0.0,40,13
119,1.704251897564301,0.0,40,13
120,1.7085626858931322,0.0,40,13
121,1.7128734742219631,0.0,40,13
122,1.717184262550794,0.0,40,13
123,1.7214950508796252,0.0,40,13
124,1.7258058392084563,0.0,40,13
125,1.7301166275372872,0.0,40,13
126,1.7344274158661181,0.0,40,13
127,1.738738204194949,0.0,40,13
128,1.7430489925237802,0.0,40,13
129,1.7473597808526113,0.0,40,13
130,1.7516705691814423,0.0,40,13
131,1.7559813575102732,0.0,40,13
132,1.760292145839104,0.0,40,13
133,1.7646029341679352,0.0,40,13
134,1.7689137224967664,0.0,40,13
135,1.7732245108255973,0.0,40,13
136,1.7775352991544282,0.0,40,13
137,1.7818460874832593,0.0,40,13
138,1.7861568758120905,0.0,40,13
139,1.7904676641409214,0.0,40,13
140,1.7947784524697523,0.0,40,13
141,1.7990892407985832,0.0,40,13
142,1.8034000291274144,0.0,40,13
143,1.8077108174562455,0.0,40,13
144,1.8120216057850764,0.0,40,13
145,1.8163323941139073,0.0,40,13
146,1.8206431824427383,0.0,40,13
147,1.8249539707715694,0.0,40,13
148,1.8292647591004005,0.0,40,13
149,1.8335755474292315,0.0,40,13
